,ETH-USD+,cash,value
2016-07-18,0.0835809956366,0.916419004363,40167.7808441
2016-07-19,0.111279120399,0.888720879601,40428.7261703
2016-07-20,0.116938321948,0.883061678052,40471.3964388
2016-07-21,0.219444444444,0.780555555556,41271.965075
2016-07-22,0.198621767427,0.801378232573,41013.9761156
2016-07-25,0.100277777778,0.899722222222,39695.6278859
2016-07-26,0.131666666667,0.868333333333,40013.3398673
2016-07-27,0.130614487614,0.869385512386,39940.6297356
2016-07-28,0.133690563407,0.866309436593,39940.3840148
2016-07-29,0.127464322362,0.872535677638,39815.6355638
2016-08-01,0.0244444444444,0.975555555556,38086.586016
2016-08-02,0.071714879698,0.928285120302,38321.2453491
2016-08-03,0.107214299165,0.892785700835,38527.2664021
2016-08-04,0.104166666667,0.895833333333,38468.1800149
2016-08-05,0.105555555556,0.894444444444,38431.7447584
2016-08-08,0.134525631023,0.865474368977,38900.8507811
2016-08-09,0.138564885651,0.861435114349,38900.5365203
2016-08-10,0.129997478293,0.870002521707,38662.0885903
2016-08-11,0.137408366156,0.862591633844,38704.6209392
2016-08-12,0.135555555556,0.864444444444,38605.2687581
2016-08-15,0.127777777778,0.872222222222,38428.4236711
2016-08-16,0.126944444444,0.873055555556,38252.3407642
2016-08-17,0.13,0.87,38252.1069999
2016-08-18,0.128055555556,0.871944444444,38224.3030049
2016-08-19,0.145555555556,0.854444444444,38483.9257701
2016-08-22,0.141388888889,0.858611111111,38349.755364
2016-08-23,0.145,0.855,38349.4783935
2016-08-24,0.1575,0.8425,38520.5312686
2016-08-25,0.159722222222,0.840277777778,38472.1706619
2016-08-26,0.157777777778,0.842222222222,38433.8845783
2016-08-29,0.161944444444,0.838055555556,38444.4208187
2016-08-30,0.179722222222,0.820277777778,38632.1995941
2016-08-31,0.196944444444,0.803055555556,39028.2597554
2016-09-01,0.198611111111,0.801388888889,38946.1607741
2016-09-02,0.200833333333,0.799166666667,38798.4757133
2016-09-05,0.197777777778,0.802222222222,38699.7634064
2016-09-06,0.197777777778,0.802222222222,38627.6874913
2016-09-07,0.196666666667,0.803333333333,38495.728505
2016-09-08,0.209166666667,0.790833333333,38714.4644516
2016-09-09,0.221666666667,0.778333333333,38941.8641493
2016-09-12,0.225277777778,0.774722222222,38848.3110554
2016-09-13,0.229166666667,0.770833333333,38884.7757164
2016-09-14,0.233055555556,0.766944444444,38877.0172768
2016-09-15,0.260555555556,0.739444444444,39368.0436516
2016-09-16,0.266944444444,0.733055555556,39546.7623442
2016-09-19,0.401353369957,0.598646630043,41093.4561618
2016-09-20,0.304166666667,0.695833333333,39966.3996208
2016-09-21,0.285555555556,0.714444444444,39425.191056
2016-09-22,0.300555555556,0.699444444444,39638.9984177
2016-09-23,0.262777777778,0.737222222222,39235.2850468
2016-09-26,0.293055555556,0.706944444444,39376.8715886
2016-09-27,0.301944444444,0.698055555556,39561.559529
2016-09-28,0.299444444444,0.700555555556,39444.7657314
2016-09-29,0.305555555556,0.694444444444,39507.1509578
2016-09-30,0.307777777778,0.692222222222,39479.5847196
2016-10-03,0.312222222222,0.687777777778,39580.554683
2016-10-04,0.309722222222,0.690277777778,39367.0698097
2016-10-05,0.282777777778,0.717222222222,39160.3107932
2016-10-06,0.273055555556,0.726944444444,38996.3041401
2016-10-07,0.249722222222,0.750277777778,38625.5322311
2016-10-10,0.222222222222,0.777777777778,38237.8517373
2016-10-11,0.2225,0.7775,38252.3139803
2016-10-12,0.233888888889,0.766111111111,38432.5028397
2016-10-13,0.231289421304,0.768710578696,38342.7010672
2016-10-14,0.2325,0.7675,38387.3908192
2016-10-17,0.268888888889,0.731111111111,38788.1805195
2016-10-18,0.233670101832,0.766329898168,38352.2140063
2016-10-19,0.236627804958,0.763372195042,38404.4315251
2016-10-20,0.243380513754,0.756619486246,38419.0189573
2016-10-21,0.24334775235,0.75665224765,38411.2629055
2016-10-24,0.198784915893,0.801215084107,37881.6033538
2016-10-25,0.209742705335,0.790257294665,37960.3056647
2016-10-26,0.203298124952,0.796701875048,37911.4293616
2016-10-27,0.181026481443,0.818973518557,37674.1118217
2016-10-28,0.153453825951,0.846546174049,37248.0259258
2016-10-31,0.203888888889,0.796111111111,37530.8170298
2016-11-01,0.190833333333,0.809166666667,37417.7945848
2016-11-02,0.195555555556,0.804444444444,37464.0130341
2016-11-03,0.1975,0.8025,37490.9951579
2016-11-04,0.230277777778,0.769722222222,37672.9205057
2016-11-07,0.207801734441,0.792198265559,37492.2316988
2016-11-08,0.205526130729,0.794473869271,37463.5157523
2016-11-09,0.18084558055,0.81915441945,37305.9355655
2016-11-10,0.175717618938,0.824282381062,37229.5882449
2016-11-11,0.154972652578,0.845027347422,37085.2540764
2016-11-14,0.151680730723,0.848319269277,36923.2516697
2016-11-15,0.1725,0.8275,37045.1345979
2016-11-16,0.15355062751,0.84644937249,36912.6414795
2016-11-17,0.153641898354,0.846358101646,36878.6033925
2016-11-18,0.126818918338,0.873181081662,36637.8604948
2016-11-21,0.138326894874,0.861673105126,36651.669343
2016-11-22,0.173055555556,0.826944444444,36797.8696203
2016-11-23,0.170555555556,0.829444444444,36758.9201886
2016-11-24,0.115830563217,0.884169436783,36396.5120887
2016-11-25,0.150666779029,0.849333220971,36471.8456148
2016-11-28,0.0979322568021,0.902067743198,36041.5319893
2016-11-29,0.0565560558113,0.943443944189,35843.2667379
2016-11-30,0.148055555556,0.851944444444,35938.5041403
2016-12-01,0.131136966089,0.868863033911,35844.5324573
2016-12-02,0.0391243109339,0.960875689066,35398.7304638
2016-12-05,0.0376910189239,0.962308981076,35224.6985285
2016-12-06,0.196579406305,0.803420593695,35396.4318559
2016-12-07,0.290064717265,0.709935282735,36067.5001796
2016-12-08,0.2925,0.7075,36004.5892431
2016-12-09,0.315833333333,0.684166666667,36282.4449931
2016-12-12,0.306388888889,0.693611111111,36187.7404172
2016-12-13,0.309444444444,0.690555555556,36121.8214571
2016-12-14,0.284891973573,0.715108026427,35894.1467987
2016-12-15,0.23698313711,0.76301686289,35307.571303
2016-12-16,0.252222222222,0.747777777778,35403.6862948
2016-12-19,0.222121172498,0.777878827502,35128.9596184
2016-12-20,0.222453723848,0.777546276152,35108.3974046
2016-12-21,0.263055555556,0.736944444444,35394.1065849
2016-12-22,0.234444444444,0.765555555556,35120.3835343
2016-12-23,0.162261092217,0.837738907783,34598.8117387
2016-12-26,0.175032029253,0.824967970747,34637.1978284
2016-12-27,0.168888888889,0.831111111111,34586.4038763
2016-12-28,0.233055555556,0.766944444444,34925.6529569
2016-12-29,0.3225,0.6775,35608.5981894
2016-12-30,0.32251204321,0.67748795679,35538.564664
2017-01-02,0.349790012367,0.650209987633,35775.7308589
2017-01-03,0.496013686145,0.503986313855,37660.4791197
2017-01-04,0.629166666667,0.370833333333,40165.5819291
2017-01-05,0.529444444444,0.470555555556,38579.3626535
2017-01-06,0.511944444444,0.488055555556,38317.9323895
2017-01-09,0.537222222222,0.462777777778,38569.4845537
2017-01-10,0.588333333333,0.411666666667,39277.1816237
2017-01-11,0.485981537807,0.514018462193,37693.4501976
2017-01-12,0.488611111111,0.511388888889,37655.9433733
2017-01-13,0.480277777778,0.519722222222,37599.1070098
2017-01-16,0.465555555556,0.534444444444,37247.5476746
2017-01-17,0.5425,0.4575,38237.3705252
2017-01-18,0.546111111111,0.453888888889,38339.4745608
2017-01-19,0.587222222222,0.412777777778,38829.8973574
2017-01-20,0.61,0.39,39200.0816641
2017-01-23,0.636944444444,0.363055555556,39604.3363661
2017-01-24,0.603055555556,0.396944444444,38970.3042002
2017-01-25,0.607222222222,0.392777777778,38969.9794477
2017-01-26,0.638333333333,0.361666666667,39283.012577
2017-01-27,0.615,0.385,38951.7867806
2017-01-30,0.634444444444,0.365555555556,39201.185825
2017-01-31,0.662222222222,0.337777777778,39409.9322251
2017-02-01,0.665555555556,0.334444444444,39409.6694922
2017-02-02,0.669444444444,0.330555555556,39580.9106392
2017-02-03,0.713333333333,0.286666666667,39995.5693767
2017-02-06,0.747222222222,0.252777777778,40957.4315064
2017-02-07,0.761666666667,0.238333333333,41307.8873074
2017-02-08,0.748968164542,0.251031835458,41142.0463325
2017-02-09,0.656292372273,0.343707627727,39917.6371607
2017-02-10,0.753888888889,0.246111111111,40868.3547458
2017-02-13,0.759470579212,0.240529420788,41003.8125987
2017-02-14,0.807222222222,0.192777777778,45403.6802305
2017-02-15,0.806492357868,0.193507642132,45319.0677173
2017-02-16,0.808680633712,0.191319366288,45262.4875031
2017-02-17,0.792320434482,0.207679565518,44611.168807
2017-02-20,0.749387225287,0.250612774713,44051.8118846
2017-02-21,0.799461566981,0.200538433019,44706.908291
2017-02-22,0.762777777778,0.237222222222,44479.8096302
2017-02-23,0.825975335981,0.174024664019,45651.1231992
2017-02-24,0.825875339504,0.174124660496,45593.6763624
2017-02-27,0.862721196771,0.137278803229,52600.6280159
2017-02-28,0.873333333333,0.126666666667,54117.4363063
2017-03-01,0.927490492414,0.0725095075861,58465.3359205
2017-03-02,0.919123626436,0.0808763735643,63191.1252978
2017-03-03,0.911165786688,0.0888342133123,64407.5459658
2017-03-06,0.903420005351,0.0965799946493,65219.8144672
2017-03-07,0.774722222222,0.225277777778,62697.5283749
2017-03-08,0.492777777778,0.507222222222,56577.5141843
2017-03-09,0.59849771512,0.40150228488,58539.6556938
2017-03-10,0.758993485108,0.241006514892,61332.2162258
2017-03-13,0.940833333333,0.0591666666667,83997.0933187
2017-03-14,0.933554059737,0.0664459402631,84356.933874
2017-03-15,0.936774448294,0.0632255517056,102541.689281
2017-03-16,0.940277777778,0.0597222222222,130745.506916
2017-03-17,0.883333333333,0.116666666667,127948.601212
2017-03-20,0.771666666667,0.228333333333,122915.573473
2017-03-21,0.771483243125,0.228516756875,123272.363633
2017-03-22,0.72739742726,0.27260257274,120989.193802
2017-03-23,0.810469901573,0.189530098427,124246.007332
2017-03-24,0.938611111111,0.0613888888889,147507.925161
2017-03-27,0.809722222222,0.190277777778,139818.129215
2017-03-28,0.888888888889,0.111111111111,146151.797571
2017-03-29,0.862997076023,0.137002923977,143305.250778
2017-03-30,0.765555555556,0.234444444444,138513.81078
2017-03-31,0.807600060311,0.192399939689,139968.830251
2017-04-03,0.564166666667,0.435833333333,126122.982023
2017-04-04,0.570277777778,0.429722222222,126874.798161
2017-04-05,0.514722222222,0.485277777778,124171.947788
2017-04-06,0.471388888889,0.528611111111,122802.334253
2017-04-07,0.553054148075,0.446945851925,125603.635808
2017-04-10,0.51301259166,0.48698740834,124608.143251
2017-04-11,0.6075,0.3925,128446.57089
2017-04-12,0.724173756109,0.275826243891,134461.064768
2017-04-13,0.619005786211,0.380994213789,129271.8668
2017-04-14,0.665277777778,0.334722222222,131916.817579
2017-04-17,0.708442928229,0.291557071771,133683.73315
2017-04-18,0.639159453871,0.360840546129,129870.082551
2017-04-19,0.666388888889,0.333611111111,132430.6441
2017-04-20,0.643118923675,0.356881076325,130476.997332
2017-04-21,0.641042037382,0.358957962618,130719.65698
2017-04-24,0.695,0.305,133615.640802
2017-04-25,0.815982445563,0.184017554437,139500.769208
2017-04-26,0.929063859463,0.0709361405371,160541.37513
2017-04-27,0.93097894099,0.0690210590095,182461.038075
2017-04-28,0.865413153275,0.134586846725,176362.919003
2017-05-01,0.930316602862,0.0696833971378,192561.844702
2017-05-02,0.929594005006,0.0704059949944,199795.911055
2017-05-03,0.929403975471,0.0705960245295,232560.793162
2017-05-04,0.859625550603,0.140374449397,223934.168944
2017-05-05,0.928415472079,0.0715845279209,232450.366508
2017-05-08,0.77,0.23,212919.93506
2017-05-09,0.789444444444,0.210555555556,215877.648682
2017-05-10,0.796111111111,0.203888888889,216593.001827
2017-05-11,0.723503768608,0.276496231392,210601.271359
2017-05-12,0.781663969664,0.218336030336,215607.810747
2017-05-15,0.776944444444,0.223055555556,215299.354606
2017-05-16,0.764166666667,0.235833333333,213732.299214
2017-05-17,0.933090819107,0.0669091808931,230379.405429
2017-05-18,0.955158736675,0.0448412633254,294273.512539
2017-05-19,0.93496661526,0.06503338474,291278.922604
2017-05-22,0.958365467781,0.0416345322193,394048.516871
2017-05-23,0.956268539552,0.043731460448,446467.362214
2017-05-24,0.807799154662,0.192200845338,411612.914853
2017-05-25,0.677157843838,0.322842156162,384328.500915
2017-05-26,0.626111111111,0.373888888889,374386.38107
2017-05-29,0.965555555556,0.0344444444444,481872.820273
2017-05-30,0.965817142083,0.034182857917,481994.700575
2017-05-31,0.915120052705,0.0848799472952,465780.860994
2017-06-01,0.934668341802,0.0653316581978,468351.067286
2017-06-02,0.953333333333,0.0466666666667,472789.781047
2017-06-05,0.969234882793,0.0307651172065,553079.96624
2017-06-06,0.946881185308,0.0531188146924,535833.939497
2017-06-07,0.965806527491,0.0341934725094,543035.084414
2017-06-08,0.987222222222,0.0127777777778,582843.1531
2017-06-09,0.994166666667,0.00583333333333,700015.400967
2017-06-12,1.0,0.0,808018.091803
2017-06-13,0.685277777778,0.314722222222,715379.310916
2017-06-14,0.694770357156,0.305229642844,716564.1166
2017-06-15,0.750017669047,0.249982330953,729390.940823
2017-06-16,0.864192226782,0.135807773218,751652.199849
2017-06-19,0.7225,0.2775,720442.858391
2017-06-20,0.535833333333,0.464166666667,682730.490219
2017-06-21,0.49912483166,0.50087516834,677815.450546
2017-06-22,0.534072048456,0.465927951544,683971.975057
2017-06-23,0.400485132427,0.599514867573,658879.509288
2017-06-26,0.311149205846,0.688850794154,642838.534662
2017-06-27,0.439807936093,0.560192063907,663475.815095
2017-06-28,0.318123460955,0.681876539045,642127.69412
2017-06-29,0.26910842391,0.73089157609,633553.986643
2017-06-30,0.20508420446,0.79491579554,621536.364752
2017-07-03,0.22000897195,0.77999102805,625455.479807
2017-07-04,0.216450974408,0.783549025592,623893.54996
2017-07-05,0.214597162097,0.785402837903,623830.413442
2017-07-06,0.14276923637,0.85723076363,611203.480437
2017-07-07,0.157849846992,0.842150153008,612901.033551
2017-07-10,0.0172222222222,0.982777777778,591059.966555
2017-07-11,0.15,0.85,592701.468806
2017-07-12,0.0625,0.9375,585177.649361
2017-07-13,0.0524211408055,0.947578859194,583696.132839
2017-07-14,0.0,1.0,579291.170993
2017-07-17,0.151111111111,0.848888888889,579116.096328
2017-07-18,0.0486327699896,0.95136723001,566425.772544
2017-07-19,0.146685117935,0.853314882065,570846.123906
2017-07-20,0.100777799819,0.899222200181,567100.397069
2017-07-21,0.150803904823,0.849196095177,570785.906579
2017-07-24,0.0546051007071,0.945394899293,560654.206108
2017-07-25,0.0621069435756,0.937893056424,560538.828354
2017-07-26,0.0709040927386,0.929095907261,560537.559886
2017-07-27,0.0555449539918,0.944455046008,558229.231892
2017-07-28,0.0737949592649,0.926205040735,560634.473238
2017-07-31,0.160107810743,0.839892189257,564510.790279
2017-08-01,0.116183571685,0.883816428315,561353.67908
2017-08-02,0.145309976008,0.854690023992,563199.075917
2017-08-03,0.12540441931,0.87459558069,561796.7549
2017-08-04,0.274166666667,0.725833333333,572023.57456
2017-08-07,0.428611111111,0.571388888889,598789.840688
2017-08-08,0.430277777778,0.569722222222,597721.97436
2017-08-09,0.434722222222,0.565277777778,600332.601311
2017-08-10,0.48139121555,0.51860878445,609946.689963
2017-08-11,0.488888888889,0.511111111111,608702.214903
2017-08-14,0.3925,0.6075,587835.031499
2017-08-15,0.445102664013,0.554897335987,599753.725795
2017-08-16,0.4475,0.5525,598793.145109
2017-08-17,0.403055555556,0.596944444444,591894.663813
2017-08-18,0.4075,0.5925,592215.897666
2017-08-21,0.482193307345,0.517806692655,608906.779409
2017-08-22,0.508286321986,0.491713678014,612654.780825
2017-08-23,0.556111111111,0.443888888889,620334.834104
2017-08-24,0.559722222222,0.440277777778,625404.236934
2017-08-25,0.563055555556,0.436944444444,628372.260097
2017-08-28,0.698888888889,0.301111111111,670211.258338
2017-08-29,0.746017868753,0.253982131247,684635.769319
2017-08-30,0.744166666667,0.255833333333,690577.865899
2017-08-31,0.781562172661,0.218437827339,694617.550764
2017-09-01,0.583333333333,0.416666666667,638349.151653
2017-09-04,0.472222222222,0.527777777778,603136.596267
2017-09-05,0.532156506434,0.467843493566,621877.685826
2017-09-06,0.521767424328,0.478232575672,618401.633851
2017-09-07,0.416914245355,0.583085754645,590735.18497
2017-09-08,0.415277777778,0.584722222222,588381.678112
2017-09-11,0.364166666667,0.635833333333,580536.987118
2017-09-12,0.30999698731,0.69000301269,567365.059572
2017-09-13,0.113055555556,0.886944444444,533588.23431
2017-09-14,0.215345372728,0.784654627272,543344.951539
2017-09-15,0.175277777778,0.824722222222,541015.098002
2017-09-18,0.269722222222,0.730277777778,551553.469965
2017-09-19,0.284416548164,0.715583451836,551832.067627
2017-09-20,0.174530079725,0.825469920275,537457.018043
2017-09-21,0.214497990093,0.785502009907,539298.517232
2017-09-22,0.276312899914,0.723687100086,549454.249473
2017-09-25,0.298595837381,0.701404162619,550758.137678
2017-09-26,0.365741986102,0.634258013898,562853.721032
2017-09-27,0.363112819364,0.636887180636,558068.845533
2017-09-28,0.314150548472,0.685849451528,551202.890678
2017-09-29,0.343156930454,0.656843069546,557209.952901
2017-10-02,0.314082750126,0.685917249874,550265.119218
2017-10-03,0.31507770421,0.68492229579,550186.921217
2017-10-04,0.316597720257,0.683402279743,552153.110357
2017-10-05,0.367513821986,0.632486178014,560012.788545
2017-10-06,0.371103195952,0.628896804048,561967.044802
2017-10-09,0.323623399859,0.676376600141,553348.475736
2017-10-10,0.35774094556,0.64225905444,555954.276341
2017-10-11,0.343376465149,0.656623534851,555957.999669
2017-10-12,0.448611111111,0.551388888889,577259.430224
2017-10-13,0.483057259868,0.516942740132,578743.62766
2017-10-16,0.388611111111,0.611388888889,559948.34136
2017-10-17,0.386851412005,0.613148587995,558158.508136
2017-10-18,0.384166666667,0.615833333333,553934.761606
2017-10-19,0.342096363396,0.657903636604,550894.429231
2017-10-20,0.339151791903,0.660848208097,548699.086523
2017-10-23,0.337149232427,0.662850767573,546803.99818
2017-10-24,0.33735595732,0.66264404268,546710.386806
2017-10-25,0.336870802139,0.663129197861,546206.139895
2017-10-26,0.336805444622,0.663194555378,546715.902712
2017-10-27,0.333611111111,0.666388888889,544844.713422
2017-10-30,0.38809952445,0.61190047555,553130.188725
2017-10-31,0.35332784592,0.64667215408,550883.389232
2017-11-01,0.286844589263,0.713155410737,541706.676224
2017-11-02,0.279823602726,0.720176397274,539286.5428
2017-11-03,0.355277777778,0.644722222222,549595.473116
2017-11-06,0.336941338398,0.663058661602,544650.720939
2017-11-07,0.32,0.68,541557.374306
2017-11-08,0.384857597637,0.615142402363,550709.486594
2017-11-09,0.444927666144,0.555072333856,559142.430466
2017-11-10,0.335277777778,0.664722222222,541295.859168
2017-11-13,0.406907431894,0.593092568106,552077.757834
2017-11-14,0.487384315533,0.512615684467,566372.472842
2017-11-15,0.475263522139,0.524736477861,563458.826183
2017-11-16,0.476366669732,0.523633330268,562745.308224
2017-11-17,0.480537753984,0.519462246016,563877.974398
2017-11-20,0.597791669593,0.402208330407,593173.103335
2017-11-21,0.57885019275,0.42114980725,586222.737766
2017-11-22,0.639651395627,0.360348604373,605293.01699
2017-11-23,0.726666666667,0.273333333333,631363.863081
2017-11-24,0.870555555556,0.129444444444,703279.882423
2017-11-27,0.893611111111,0.106388888889,709509.061988
2017-11-28,0.84458532064,0.15541467936,697475.063409
2017-11-29,0.688611111111,0.311388888889,648191.530502
2017-11-30,0.707798704232,0.292201295768,655930.523566
2017-12-01,0.793055555556,0.206944444444,684372.873798
2017-12-04,0.834224532964,0.165775467036,690609.872314
2017-12-05,0.771849152898,0.228150847102,674526.053884
2017-12-06,0.63844440669,0.36155559331,638260.095661
2017-12-07,0.634722222222,0.365277777778,636973.43575
2017-12-08,0.753492845007,0.246507154993,666208.829253
2017-12-11,0.9175,0.0825,734416.607829
2017-12-12,0.935452808906,0.0645471910937,922441.800099
2017-12-13,0.936489231641,0.0635107683588,978389.029767
2017-12-14,0.92451272405,0.0754872759501,971144.914972
2017-12-15,0.898579662867,0.101420337133,959044.643702
2017-12-18,0.93948914937,0.0605108506299,1087096.47038
2017-12-19,0.935977979688,0.0640220203119,1121531.90076
2017-12-20,0.904601107113,0.0953988928874,1104241.71991
2017-12-21,0.883096602488,0.116903397512,1091972.41163
2017-12-22,0.558055555556,0.441944444444,930593.192886
2017-12-25,0.685764081655,0.314235918345,981957.541685
2017-12-26,0.715277777778,0.284722222222,1010095.05006
2017-12-27,0.690897734621,0.309102265379,997145.297963
2017-12-28,0.633557695585,0.366442304415,975397.577275
2017-12-29,0.685175908482,0.314824091518,995065.345843
2018-01-01,0.706832712286,0.293167287714,1010334.3565
2018-01-02,0.92,0.08,1109843.55685
2018-01-03,0.935901982673,0.0640980173265,1203556.41242
2018-01-04,0.938545209046,0.0614547909537,1208015.13895
2018-01-05,0.93927731466,0.0607226853399,1234773.22247
2018-01-08,0.94262612233,0.0573738776699,1437403.27112
2018-01-09,0.942642741359,0.057357258641,1620008.79649
2018-01-10,0.882144228764,0.117855771236,1572142.76581
2018-01-11,0.714444444444,0.285555555556,1449870.88263
2018-01-12,0.848786804986,0.151213195014,1560196.9788
2018-01-15,0.89567130761,0.10432869239,1578601.83502
2018-01-16,0.558611111111,0.441388888889,1325014.55606
2018-01-17,0.524778341687,0.475221658313,1306920.58981
2018-01-18,0.504132319399,0.495867680601,1299029.73591
2018-01-19,0.517179419426,0.482820580574,1314779.37978
2018-01-22,0.474444444444,0.525555555556,1289966.35775
2018-01-23,0.459990878141,0.540009121859,1280651.22782
2018-01-24,0.549293916904,0.450706083096,1326731.56716
2018-01-25,0.517636037869,0.482363962131,1316080.31145
2018-01-26,0.517222222222,0.482777777778,1317516.65488
2018-01-29,0.630094251214,0.369905748786,1396173.27313
2018-01-30,0.510875842986,0.489124157014,1316041.24261
2018-01-31,0.55767106178,0.44232893822,1346006.7333
2018-02-01,0.469731870261,0.530268129739,1288329.15982
2018-02-02,0.35926579004,0.64073420996,1224001.26264
2018-02-05,0.153055555556,0.846944444444,1117054.95958
2018-02-06,0.217222222222,0.782777777778,1139068.76753
2018-02-07,0.187999206028,0.812000793972,1128554.25797
2018-02-08,0.2325,0.7675,1145905.24139
2018-02-09,0.2738483933,0.7261516067,1166909.1546
2018-02-12,0.265833333333,0.734166666667,1162306.99386
2018-02-13,0.245828270146,0.754171729854,1153599.5723
2018-02-14,0.312651500697,0.687348499303,1180168.21443
2018-02-15,0.317222222222,0.682777777778,1183305.73444
2018-02-16,0.3175,0.6825,1187374.33039
2018-02-19,0.324444444444,0.675555555556,1188070.15769
2018-02-20,0.278804601109,0.721195398891,1165733.08037
2018-02-21,0.237955030851,0.762044969149,1148991.75062
2018-02-22,0.21098009373,0.78901990627,1137403.92426
2018-02-23,0.242777777778,0.757222222222,1152287.52528
2018-02-26,0.25,0.75,1156506.07055
2018-02-27,0.250603045487,0.749396954513,1157825.12972
2018-02-28,0.238125068726,0.761874931274,1151121.54762
2018-03-01,0.247222222222,0.752777777778,1157023.1514
2018-03-02,0.237453155904,0.762546844096,1152315.18774
2018-03-05,0.236174613755,0.763825386245,1150338.75319
2018-03-06,0.210321592979,0.789678407021,1139507.62111
2018-03-07,0.15831640947,0.84168359053,1120450.78353
2018-03-08,0.115543720512,0.884456279488,1108024.86991
2018-03-09,0.151388888889,0.848611111111,1113100.56408
2018-03-12,0.112968255246,0.887031744754,1106095.60552
2018-03-13,0.110609781071,0.889390218929,1104827.00119
2018-03-14,0.0711084532831,0.928891546717,1091159.74763
2018-03-15,0.0708563710272,0.929143628973,1090831.93548
2018-03-16,0.0594962265758,0.940503773424,1089539.79362
2018-03-19,0.0505849238763,0.949415076124,1084674.23142
2018-03-20,0.0500042195445,0.949995780455,1084872.09743
2018-03-21,0.0600068965667,0.939993103433,1085078.49116
2018-03-22,0.0393544200453,0.960645579955,1082709.92803
2018-03-23,0.0360585339745,0.963941466026,1083013.14824
2018-03-26,0.0294925455225,0.970507454478,1076186.72557
2018-03-27,0.023902416699,0.976097583301,1075973.52121
2018-03-28,0.0515667221385,0.948433277861,1072329.49135
2018-03-29,0.027464742007,0.972535257993,1073703.9614
2018-03-30,0.0353069938208,0.964693006179,1073705.87715
2018-04-02,0.0294528247287,0.970547175271,1075792.17554
2018-04-03,0.0467022519557,0.953297748044,1072909.58282
2018-04-04,0.0223908102507,0.977609189749,1073215.34833
2018-04-05,0.0360288014253,0.963971198575,1072490.95992
2018-04-06,0.014589345476,0.985410654524,1073968.45936
2018-04-09,0.0858481030803,0.91415189692,1075066.11048
2018-04-10,0.0887250800801,0.91127491992,1078345.4894
2018-04-11,0.110833333333,0.889166666667,1092445.03527
2018-04-12,0.146111111111,0.853888888889,1092615.96812
2018-04-13,0.180555555556,0.819444444444,1095070.47923
2018-04-16,0.180555555556,0.819444444444,1095164.70011
2018-04-17,0.191111111111,0.808888888889,1104099.0178
2018-04-18,0.191666666667,0.808333333333,1120716.41339
2018-04-19,0.209166666667,0.790833333333,1139606.94666
2018-04-20,0.302856374052,0.697143625948,1134755.11886
2018-04-23,0.3575,0.6425,1190460.28812
2018-04-24,0.454722222222,0.545277777778,1138351.4633
2018-04-25,0.396944444444,0.603055555556,1174816.9
2018-04-26,0.400277777778,0.599722222222,1162018.48898
2018-04-27,0.400833333333,0.599166666667,1190682.22142
2018-04-30,0.454166666667,0.545833333333,1182013.07734
2018-05-01,0.410277777778,0.589722222222,1181909.32286
2018-05-02,0.426666666667,0.573333333333,1189882.17784
